text,label
"Dear user, your account has been suspended. Click here to verify your password immediately",1
Congratulations! You have won a lottery. Claim now using this link,1
Urgent: update your bank details to avoid account closure,1
Limited time offer! Buy now and get 50% discount,1
Your PayPal account needs verification. Login immediately,1
"Hey team, please find attached the meeting minutes from today",0
Let's schedule a call for tomorrow regarding the project,0
Reminder: submit your assignment before deadline,0
Lunch at 1 PM? Let me know if you are available,0
Project update: all modules completed successfully,0
"Security alert: suspicious login detected, reset your password now",1
Win a free iPhone by clicking this link,1
"Your invoice is attached, please review",0
Can we reschedule our meeting to next week?,0
Important notice: verify your email to continue service,1
